scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,0.03862,0.08048628454587775,5.2759599999999995,0.6231455552276689,6.388960000000001,0.039959999999999996,0.10404255379410868,-0.21314000000000002,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.0344,0.07095244886541972,5.1056799999999996,0.6669110225509846,6.109019999999999,0.03906,0.09984900099650472,-0.10476,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.023899999999999998,0.03347738042320516,5.14668,0.6125111607146436,6.163460000000001,0.04024,0.05672180356794026,-0.1292,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.0237,0.07103671585877264,5.08852,0.687308702112813,6.16638,0.03371999999999999,0.11210110168950169,-0.12842000000000003,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.022500000000000003,0.07704553848212108,5.1521799999999995,0.6584383395580791,6.2565599999999995,0.029459999999999997,0.1153781738458362,-0.16306,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.021380000000000007,0.08337197970541421,5.15884,0.6510512406869368,6.17392,0.017420000000000005,0.11102637974823822,-0.12846,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.020700000000000003,0.08412131121184453,5.095440000000001,0.7305866362040849,6.06452,0.0128,0.13303738196461926,-0.08774000000000001,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.015999999999999993,0.06860867292114023,5.31602,0.458973209457807,6.4773,0.022020000000000005,0.0939233304349883,-0.2523,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.012379999999999999,0.07971095909597375,5.0979600000000005,0.7163536682393687,6.095619999999999,0.006840000000000004,0.10894809773465529,-0.09827999999999999,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.011740000000000004,0.08171348113989516,5.31018,0.6664360336896559,6.45946,0.006039999999999995,0.11210902283045732,-0.24012000000000003,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.011239999999999998,0.037426701698119215,5.142519999999999,0.6322485365740284,6.18404,0.023299999999999998,0.06792690924810285,-0.13768,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.009739999999999999,0.059254350051283156,5.3932,0.5697824935885621,6.548440000000001,0.011900000000000004,0.07671639329374133,-0.27574,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.009339999999999998,0.05382107393948953,5.13694,0.6667723847011063,6.2146799999999995,0.012940000000000002,0.08023383326253333,-0.14496,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.0065000000000000014,0.04879077781712442,5.21738,0.5978389222859279,6.2770600000000005,0.00976,0.0726334151751107,-0.17164,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.00408,0.10548974831707582,5.342359999999999,0.6073575001595028,6.456360000000001,-0.003759999999999991,0.14823936049511277,-0.24325999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.0020200000000000023,0.08393733972434438,5.21126,0.7236256200550116,6.141500000000001,-0.01794,0.13796712651932705,-0.11599999999999999,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.001380000000000005,0.09884321929196763,5.28742,0.49227669760003867,6.51302,0.007639999999999997,0.12295905009392355,-0.27312,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.0027799999999999978,0.0868170317391697,5.1387599999999996,0.7845762442235934,6.113860000000001,-0.023379999999999998,0.14127680984506977,-0.1052,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.0037399999999999994,0.05094755146226362,5.245900000000001,0.6876336342850023,6.24908,-0.01452,0.08490021790313615,-0.16076000000000001,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.0041400000000000005,0.08445444334077397,5.17672,0.7691770842920375,6.168519999999999,-0.014540000000000006,0.1306013514478315,-0.12473999999999999,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.00456,0.07008539790855153,5.43124,0.44700912518650004,6.48224,-0.0070199999999999985,0.0992156338487035,-0.25495999999999996,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,-0.00532,0.06633115406805463,5.454940000000001,0.44505014099537127,6.477320000000001,-0.0077399999999999995,0.09665861575669289,-0.25373999999999997,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,-0.005859999999999995,0.14467537108989906,5.3588,0.8851155997947391,6.47436,-0.018539999999999994,0.2006659736975853,-0.23663999999999996,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.00668,0.07542444563932836,5.31894,0.7675089172120415,6.390680000000001,-0.010780000000000001,0.12303104079865373,-0.20948000000000003,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,-0.01322,0.08078522142075245,5.19388,0.6864270441933359,6.23564,-0.0373,0.12159833469254422,-0.15576,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,-0.01632,0.07470085006209769,5.37396,0.7354901481325224,6.442060000000001,-0.0262,0.10065602316801514,-0.22984,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,-0.01642,0.07841863298987047,5.24776,0.6909718576034772,6.300420000000001,-0.03972,0.11335535717380102,-0.17837999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,-0.01736,0.06589053801571208,5.32156,0.7401675236052982,6.3452,-0.036059999999999995,0.10491195356106947,-0.19485999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,-0.01976,0.08257038209915224,5.23476,0.68798173885649,6.30286,-0.04204,0.12290422287293468,-0.18317999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,-0.020180000000000003,0.05168991197516204,5.27656,0.6640842137861734,6.303580000000001,-0.04914,0.10441670364457978,-0.17573999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,-0.030779999999999995,0.07349035310841825,5.29812,0.6285134580898012,6.3136399999999995,-0.05558,0.10837283792537686,-0.18454,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.031080000000000007,0.11199400430380192,5.6549,0.6349336382646616,6.807740000000001,-0.04482,0.13725274860635758,-0.36917999999999995,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,-0.032639999999999995,0.07216524786904012,5.524379999999999,0.7194604137824406,6.73128,-0.055799999999999995,0.0888441331771547,-0.36952,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.03304,0.06044483435331757,5.40234,0.6152041311629823,6.5461,-0.051059999999999994,0.08721764729686303,-0.27437999999999996,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.035359999999999996,0.0659608823470396,5.34766,0.5872584337410574,6.36214,-0.050960000000000005,0.09697555362048726,-0.20709999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,-0.0462,0.05693606062944643,5.5022199999999994,0.5406718200535326,6.60272,-0.0596,0.08041128652123407,-0.30108,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.17421999999999999,0.1015263857329709,5.369400000000001,0.5060466035850849,6.4228,0.23284,0.11079974277948483,-0.019540000000000005,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,LGBM,0.15886,0.06472806964524742,5.3864,0.5177486600658665,6.5144400000000005,0.2071,0.08009403847977702,-0.05125999999999999,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,Lasso,0.14044,0.04277993688634896,5.4185,0.3589798183742371,6.505800000000001,0.21824,0.054252124382368656,-0.05650000000000001,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,Ridge,0.12836,0.05223004882249298,5.457199999999999,0.32551979970502565,6.547999999999999,0.20686,0.044435605093213267,-0.07133999999999999,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,SVR,0.12393999999999998,0.026092393527616425,5.2815199999999995,0.4557217978109017,6.483699999999999,0.18826,0.024068298651961258,-0.035960000000000006,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,MLP,0.12326000000000004,0.10819996765249054,5.49724,0.4882888417729819,6.60852,0.15308000000000002,0.12229142243019336,-0.07547999999999999,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Ridge,0.12204,0.0371925126873676,5.49404,0.30766972226723904,6.489459999999999,0.19424000000000002,0.032992544612381755,-0.04836,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,Lasso,0.11965999999999999,0.08239334317771066,5.41938,0.3583859190872322,6.536499999999999,0.16787999999999997,0.09537267428357034,-0.06074,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,ElasticNet,0.11766000000000001,0.06218651783143995,5.462639999999999,0.325983432094332,6.527119999999999,0.19924000000000003,0.04102307887031398,-0.06179999999999999,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,ElasticNet,0.11694,0.07619519669900458,5.43444,0.3724791712297483,6.514599999999999,0.17276,0.07774209284551066,-0.0538,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ElasticNet,0.11529999999999999,0.03628849679995026,5.4834000000000005,0.33323950095989535,6.43304,0.19142,0.030529690466822627,-0.026500000000000003,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Lasso,0.11474,0.05967966990525333,5.552460000000001,0.2675106969823822,6.6303600000000005,0.17468,0.05332370017168725,-0.10378000000000003,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ET,0.11341999999999999,0.05311409417471036,5.440480000000001,0.554236481116139,6.4570799999999995,0.16928,0.08120546163898089,-0.02708,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,Ridge,0.10942,0.06976522772843217,5.4501800000000005,0.40231807938495623,6.51346,0.16609999999999997,0.0770213282149821,-0.053759999999999995,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,KNN,0.10928000000000002,0.13035621197319291,5.58416,0.8442503349125778,6.657939999999999,0.14272,0.16749428945489456,-0.0887,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,XGB,0.10792000000000002,0.07617146447325272,5.45304,0.3719369408918667,6.665139999999999,0.14574000000000004,0.10347319942864433,-0.10292000000000001,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,LGBM,0.10368,0.09023462195853652,5.605460000000001,0.5832074185056293,6.776859999999999,0.13074000000000002,0.09939850602499015,-0.13344,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,XGB,0.09908,0.09062034539770857,5.45672,0.5220573024103772,6.656819999999999,0.1292,0.10771993780169019,-0.09474,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,LGBM,0.0975,0.10370204916008169,5.52236,0.3462856739745381,6.745320000000001,0.12754000000000001,0.14269412391545772,-0.13368,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,RF,0.09684000000000001,0.05308952815763199,5.41824,0.4085847011330698,6.446300000000001,0.15602,0.09631480675368663,-0.027780000000000006,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
RobustScaler,KNN,0.09341999999999999,0.0691738895827031,5.45932,0.6267432943398756,6.631960000000001,0.1262,0.08878583783464568,-0.08086,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
StandardScaler,GB,0.09298,0.10406263498489744,5.56832,0.6212218218961726,6.75538,0.12456,0.1383910510112558,-0.12913999999999998,5,negative_training,ALL_CONDITIONS,phq_9,PHQ9,cross-corpus-882
