scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,KNN,0.0876,0.2601514462769715,4.86428,1.253728697525904,6.01826,0.12223999999999999,0.3974027214300375,-0.10133999999999999,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.010120000000000007,0.22916076671193084,4.96942,1.1443756865645127,6.077839999999999,-0.011860000000000004,0.3885962853656736,-0.11696,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.0023400000000000005,0.15134129641310728,5.36666,0.9475517099346084,6.258940000000001,0.008160000000000006,0.2714727573809203,-0.18342000000000003,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.017500000000000005,0.2807036070306187,6.50552,1.746665186004461,8.07368,-0.026739999999999996,0.30505739296073453,-1.03588,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,-0.027459999999999995,0.14019565970457146,5.544379999999999,1.0771089694176723,6.5265,-0.04619999999999999,0.21866380587559525,-0.29396,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,-0.03316000000000001,0.31136988133086985,5.78312,1.4284525462891653,6.68844,-0.10741999999999999,0.4098061578356284,-0.36102,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,-0.0563,0.22259011658202615,5.56224,1.0109532002026602,6.60046,-0.09544,0.30768976746066806,-0.32781999999999994,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,-0.06534,0.17514066632281608,5.73966,1.1941827678374863,6.7828,-0.08738,0.2506710533747365,-0.4133,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,-0.06582,0.2525920663837247,5.7878799999999995,1.402925002272039,6.7348,-0.10617999999999998,0.32687322007163566,-0.36894000000000005,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,-0.06851999999999998,0.35957568327126904,6.24422,2.106536222570122,7.584219999999999,-0.05608,0.3981483228647334,-0.78712,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,-0.07054,0.19124651107928742,5.472440000000001,0.9719101208445153,6.46528,-0.17374,0.33919138108153635,-0.26952000000000004,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,-0.07107999999999999,0.2683748814624796,5.83556,1.460023499125956,6.919000000000001,-0.07274000000000001,0.3380621584856844,-0.48592,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.07304000000000001,0.17532717416304866,5.6194,1.21143360734297,6.77528,-0.10355999999999999,0.2469752882375077,-0.39056,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.07776000000000001,0.19469850538717545,5.27242,1.1323294383703004,6.29104,-0.14243999999999998,0.40936329586322223,-0.20032,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.0817,0.24380234822495045,5.84316,1.248679725950574,6.888480000000001,-0.1111,0.30813131129438953,-0.45744000000000007,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,-0.09044,0.23282312599911548,5.43712,1.1631430875004158,6.580679999999999,-0.16094,0.36875718704860516,-0.32154,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.09208,0.1664786683031793,5.51314,1.1568002952108887,6.58176,-0.13512,0.28695935600708333,-0.32059999999999994,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.09263999999999999,0.19045366365601896,5.569100000000001,1.031875043307086,6.63716,-0.17506000000000002,0.3361226308953326,-0.34812,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.10003999999999999,0.1829875624188704,5.5085999999999995,0.9397175187257071,6.44946,-0.18746,0.3584788180632156,-0.26603999999999994,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,-0.10362,0.19029817918204053,5.877800000000001,1.3625612518342063,6.97266,-0.11632,0.2620345912279522,-0.49222,5,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882
