scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,GB,0.19538,0.20305013420335383,5.10884,0.9883023439211303,6.297,0.2177,0.21787621485605077,-0.34762,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.17684,0.27603991196926575,5.26638,1.7013738983539157,6.28686,0.19485999999999998,0.30648748424691014,-0.30354,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.16454000000000002,0.2529144282163436,5.10844,1.4323141128956316,6.03866,0.17826000000000003,0.31409865170038537,-0.24718,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.15733999999999998,0.21872177074996443,5.29404,1.2673888365454384,6.33396,0.17314000000000002,0.24254721808340743,-0.33977999999999997,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.13730000000000003,0.22605761433758428,4.9199600000000006,1.42142752295008,5.8924,0.15324,0.2596387644401352,-0.16328,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.133,0.16869261987413675,5.4518,1.1643185882738454,6.50714,0.14318,0.17393059535343403,-0.43410000000000004,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.13135999999999998,0.24436573614154664,4.926019999999999,1.4389865781166968,5.9049,0.14550000000000002,0.293830708061632,-0.13768000000000002,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.12101999999999999,0.19419304055501063,6.9154,5.791874267022723,9.9647,0.17709999999999998,0.25835128217216186,-3.2989399999999995,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.11991999999999998,0.344309667305465,5.33128,1.8505592754624212,6.446540000000001,0.11120000000000001,0.3841613593270411,-0.38196,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.11366000000000001,0.16888039554667084,5.00592,1.5071591710897694,5.912639999999999,0.14382,0.21857582665976583,-0.15482,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.11134000000000002,0.22852664614875876,4.95382,1.4099605710799152,6.127759999999999,0.11272000000000001,0.24582069074835827,-0.2618,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.10541999999999999,0.23570965614501244,5.02682,1.551409951302363,6.04284,0.10082000000000002,0.26878954964804713,-0.23855999999999997,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.10101999999999997,0.19337073718636955,4.9433,1.296750752843429,5.97086,0.12201999999999999,0.23667783377409893,-0.20438,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.09396,0.24671757740379993,6.3884799999999995,4.217873514817626,8.5795,0.14514,0.29388706674503384,-1.7950399999999997,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.09082,0.21011958975783293,4.99234,1.661154077140348,5.94848,0.11322000000000002,0.28100528820646775,-0.17706000000000002,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.09064,0.23081661118732336,5.51522,2.33291306889048,6.66836,0.12596000000000002,0.28586043447808585,-0.5081800000000001,5,negative_training,CR,phq_8,PHQ8,cross-corpus-882
