scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,KNN,0.2639,0.16007390480649872,5.02648,0.961952076249124,5.92562,0.32788,0.16098292456033964,-0.09734000000000001,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.21723999999999996,0.13579620024139114,5.065780000000001,0.9848550690330026,5.991619999999999,0.29408,0.17126447967982153,-0.1203,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.2153,0.07354845341677825,4.94792,0.7434508437011823,5.89754,0.30840000000000006,0.13627022785627094,-0.1095,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.21032,0.1840513297968803,5.4016,1.3115327388212619,6.180479999999999,0.2798,0.22746739326769455,-0.21498,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.1845,0.23999090607770954,5.16574,0.6394945918457793,6.057840000000001,0.26602,0.2987513715449688,-0.23707999999999996,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.17174,0.12866772322536837,5.13758,1.0139036305290559,6.060980000000001,0.23297999999999996,0.15572095876920355,-0.17602,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.15894,0.18783472256215036,5.46534,1.364091750213306,6.52332,0.18478,0.21081258738509898,-0.3544,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.15806,0.04510014412393823,5.15616,0.952746696661815,6.0789,0.21295999999999998,0.06258448689571561,-0.15144,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.15154,0.17698697127189897,5.73416,1.3550884059720973,6.7867999999999995,0.16987999999999998,0.20438840965181954,-0.47274000000000005,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.14862,0.22186172946229368,5.592779999999999,0.6896747653785803,6.82108,0.20299999999999999,0.26741888489783217,-0.5576200000000001,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.14794000000000002,0.2817298493237804,5.5405,0.6104919041232243,6.439959999999999,0.18434,0.33865135907006194,-0.43588000000000005,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.14474,0.09848323715231948,5.275860000000001,0.9897820835921408,6.30514,0.2077,0.157225840751449,-0.27024,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.13988,0.2039617292533087,5.91688,0.695018389684762,7.18858,0.1516,0.2335165518758788,-0.6239,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.1398,0.23172591568488837,5.4581800000000005,0.7951219761772403,6.58442,0.20066,0.28227191323261336,-0.43217999999999995,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.13762,0.17066132250747384,5.24752,0.7764147004017891,6.1842999999999995,0.23026,0.2767839012659515,-0.25652,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.13704,0.20777684664081317,5.41644,0.8660610099756252,6.6411,0.21137999999999998,0.2602038470122992,-0.48950000000000005,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.13620000000000002,0.10355993433756125,5.1257,0.8961558039760721,6.16416,0.19358,0.12316124390407886,-0.21842,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.11983999999999999,0.18599066643248527,5.1964,0.8218566146232563,6.02258,0.17260000000000003,0.2707734015740837,-0.17095999999999997,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.11412,0.09167961605504246,5.1906,0.5938561273574602,6.09816,0.17722000000000002,0.15176381979905487,-0.19316,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.09908000000000002,0.2374562843977813,5.16822,1.025915843039769,6.1723799999999995,0.13664000000000004,0.306429637926882,-0.23902,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.09807999999999999,0.18646800529849616,5.8875399999999996,1.5326033971644457,7.43106,0.14024,0.2366920425362881,-1.01254,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.09484000000000001,0.20229139378629038,5.587339999999999,1.2749454960899311,6.789959999999999,0.12818000000000002,0.26688906309551164,-0.49659999999999993,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.09336,0.27337248032675127,6.31456,1.0316765326399546,7.867360000000001,0.10615999999999999,0.3250334644309721,-0.9849,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.07942,0.16824158819982651,5.89936,1.5459642906613336,7.39558,0.12594,0.24268049571401487,-0.99182,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.07342,0.13641323982663855,5.553120000000001,0.8836944817073379,6.6482399999999995,0.09538,0.16673587496396808,-0.42858,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.0725,0.18557870298070303,5.89666,0.8856716451371803,6.8185199999999995,0.10708,0.2515241678248832,-0.5411,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.07039999999999999,0.1561581730169766,5.879600000000001,1.3137156446506983,7.16596,0.0972,0.18729345957614216,-0.77954,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.06976,0.18658445272851648,6.13014,1.3093092045044215,7.75082,0.02300000000000002,0.3285797391806135,-1.1532200000000001,5,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882
