scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,SVR,-0.03898,0.14233477087486388,5.92698,0.9567508045463043,6.91836,-0.09738,0.23422385019463754,-0.48157999999999995,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.05776,0.12654782890275124,5.56104,1.0050232151547542,6.6350999999999996,-0.09273999999999999,0.19539803734940636,-0.34931999999999996,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,-0.06182,0.17174847015330297,6.65104,1.2158311901740309,8.067779999999999,-0.09934000000000001,0.21151393098328064,-1.00024,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,-0.06608,0.17889876187385984,6.83386,1.1332287646366908,8.360339999999999,-0.09904000000000002,0.2191694732393177,-1.14822,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.06756,0.17462151356576888,6.6495999999999995,1.0299125618226042,8.12822,-0.10479999999999998,0.2160194204232573,-1.02258,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.0733,0.10750244183273233,5.509100000000001,1.1089258225868852,6.993119999999999,-0.12304000000000001,0.16007874000003872,-0.49696000000000007,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.0746,0.1627314966440117,5.734319999999999,1.2272303174221209,6.9639,-0.13542,0.2527678124287189,-0.48806000000000005,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,-0.079,0.17643994729085588,6.416499999999999,1.468671775789267,7.768120000000001,-0.11311999999999997,0.21100814439258025,-0.8691799999999998,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.0851,0.08901508299159193,7.299519999999999,2.1013790786052855,9.235479999999999,-0.11300000000000002,0.10509835869317848,-1.64552,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,-0.08610000000000001,0.09013586966352519,5.6936,1.2588215342136473,7.10124,-0.14412,0.15480170218702377,-0.55022,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.09678,0.15709260644600687,6.63814,1.532596785850734,8.09362,-0.1367,0.195613100277052,-1.06108,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,-0.098,0.1500303136036181,5.7592799999999995,1.1299627038092892,7.00034,-0.15884,0.2299815383894977,-0.49573999999999996,5,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882
