scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,MLP,0.17862,0.23875238637550827,5.8982399999999995,1.2888135796149884,6.72866,0.18384,0.24499457749101303,-0.6071200000000001,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.12856,0.1838207224444513,5.2980599999999995,0.9545841675829326,6.0667,0.15589999999999998,0.20042544748609145,-0.30244,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.12398,0.142931266698368,4.76294,1.4476793336232994,5.60634,0.15348,0.18767524343929862,-0.053239999999999996,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.11095999999999999,0.1845022167888505,5.0835799999999995,0.9993744053156456,5.90496,0.13042,0.1967520698747538,-0.20486,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.10003999999999999,0.2654107910390985,5.1059,1.2979052642623805,5.982559999999999,0.09540000000000001,0.2844746825290434,-0.24216000000000001,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.09724,0.1372927274111779,4.76214,1.3070861689269,5.74198,0.14240000000000003,0.1954123204918257,-0.13804000000000002,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.09516,0.21697527048030152,5.0984,1.3283069637700466,5.9524799999999995,0.13730000000000003,0.2935398099065951,-0.28037999999999996,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.09150000000000001,0.2674777280447851,5.3107999999999995,1.4457032907896417,6.1788,0.08482,0.2845401149223076,-0.34684,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.0895,0.28956353361568166,5.40934,1.5676455077599656,6.2874,0.09698000000000002,0.3064545920687109,-0.44044,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.08374,0.20210788703066487,5.304460000000001,1.0943342875922326,6.07772,0.08066,0.230809819981733,-0.28462,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.08293999999999999,0.2690586515984944,5.0312,1.390590063606094,5.96204,0.07678,0.2957923122733247,-0.25066,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.07998000000000001,0.1518910366019009,4.9162799999999995,1.4546107269644346,5.83588,0.08457999999999999,0.20414219798953864,-0.15011999999999998,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.0738,0.15201057529001066,4.92152,1.4359378109792917,5.813879999999999,0.09444,0.2042926528292195,-0.15228000000000003,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.07006,0.2142862291422386,5.0254,1.6219457420024874,5.93688,0.05500000000000001,0.27657916588203096,-0.18,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.06832,0.14767265149647715,5.2188,1.0191719040475948,6.11022,0.09119999999999999,0.15782225761913304,-0.31671999999999995,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.06676,0.22771820963638373,5.59654,1.1021882361919857,6.64876,0.07416,0.2378330464842933,-0.6348199999999999,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.06543999999999998,0.14278833285671486,5.2066,0.952096547100135,6.12098,0.08134,0.150749669983055,-0.31324,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.06446,0.2130373981253057,5.55822,1.1939168404876446,6.52422,0.05913999999999999,0.2418957792107998,-0.48683999999999994,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.0601,0.25093569893500606,5.0251,1.6241612496916682,5.95678,0.07473999999999999,0.3451506815870425,-0.22286,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.05789999999999999,0.23804893404508243,5.42062,1.172037549313161,6.3395600000000005,0.04508,0.27092584225208194,-0.44752000000000003,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.05170000000000001,0.26068088729325745,5.339740000000001,1.315490989326799,6.4687,0.052559999999999996,0.2899609939284938,-0.50364,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.05035999999999998,0.2652387188930002,5.35718,1.5002048133504975,6.494739999999998,0.0633,0.30411864461094784,-0.5735800000000001,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.05,0.15417086300595192,5.3331599999999995,1.115173830844322,6.211060000000001,0.04426,0.1745858613977661,-0.35719999999999996,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.04203999999999999,0.18489696590263455,5.24456,1.1988154582753763,6.230700000000001,0.03400000000000001,0.21183416863197493,-0.3402,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.02961999999999999,0.22449326715961884,5.560599999999999,1.1519967252557621,6.630979999999999,0.020279999999999992,0.2555418791509525,-0.5815599999999999,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.023479999999999994,0.2867226133390947,5.16254,1.4932191008020224,6.1418,0.0353,0.3415230592507627,-0.33864,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.01682,0.18122206543354483,5.38262,1.4761104538617698,6.26526,0.007080000000000003,0.2354764786555124,-0.36234,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,-0.0027400000000000037,0.35398693902459166,5.3326,1.856570129297571,6.24616,-0.013780000000000004,0.39720622099861425,-0.36492,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,-0.009759999999999996,0.19274972892328537,5.6229,1.4158326401803283,6.690540000000001,-0.024200000000000006,0.2205374231281394,-0.50858,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,-0.011339999999999998,0.16752396246507542,5.631279999999999,1.3173665765458,6.74212,-0.030320000000000003,0.18809547309810515,-0.56624,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,-0.0116,0.24194149086091044,5.28186,1.597231120721106,6.13828,-0.036840000000000005,0.3397331791273852,-0.26158000000000003,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.014979999999999993,0.1309315355443447,5.246720000000001,1.5842052572189,6.071499999999999,-0.040760000000000005,0.2234773098101908,-0.23624,5,positive_training,CR,phq_8,PHQ8,cross-corpus-882
