scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,CatBoost,0.24500000000000002,0.23479136483269566,4.868040000000001,1.0504878500011319,5.624180000000001,0.33446000000000004,0.2653035299425924,-0.0538,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.23781999999999998,0.19943701261300523,5.034060000000001,0.7242140795372598,5.966060000000001,0.27198,0.21282616615444633,-0.16642,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.23087999999999997,0.28912474297437774,5.1440399999999995,0.7243886132456805,5.8643,0.29155999999999993,0.3310276317771675,-0.15172000000000002,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.22874,0.3180122057405973,5.216100000000001,1.5753882092995364,5.967280000000001,0.2698,0.35567265146479843,-0.23287999999999998,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.21986,0.2227640298611964,4.90924,1.0091515411473146,5.75484,0.29972,0.25966462408268093,-0.06998,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.21686,0.22635296110278744,5.2415400000000005,0.7376754726842966,6.01232,0.26993999999999996,0.24856573174916932,-0.21914000000000003,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.1965,0.2204461272057189,5.18592,1.1851837249979427,5.943880000000001,0.25926,0.26733271965848104,-0.14668,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.19071999999999997,0.3263696324721404,5.07146,1.3050834199391241,5.99758,0.19846,0.3511247684228499,-0.16732,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.18084000000000003,0.2789934999242814,5.00458,0.9939263715185347,5.90064,0.24821999999999997,0.29235949103800274,-0.14268,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.17953999999999998,0.2051170105086363,5.03024,0.7938032993128714,5.72674,0.29951999999999995,0.2671907782839819,-0.08248,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.17953999999999998,0.27191538757488515,5.1399,1.2415049979762465,5.93074,0.23476000000000002,0.3019398996489202,-0.13965999999999998,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.17920000000000003,0.2978551157861822,5.08234,1.290203725386034,5.9781200000000005,0.31414,0.35053827608408183,-0.27108,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.17604000000000003,0.35722172806255786,5.11896,1.3068055069519717,6.0689,0.19564,0.3821088365897863,-0.30052,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.17511999999999997,0.25935662127657355,5.26826,0.9705148906637134,6.062939999999999,0.22854000000000002,0.29286548618777186,-0.22834,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.16887999999999997,0.3903160283667582,5.18504,1.415991286343246,6.09874,0.25514,0.40239375989197446,-0.28524000000000005,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.16469999999999999,0.1281637234165737,5.72258,1.189932629185367,6.6792,0.196,0.15972628149431142,-0.40793999999999997,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.16312000000000001,0.2638365725217033,4.82086,0.9262957481279941,5.75436,0.25966,0.3206656093191161,-0.08412,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.15783999999999998,0.276303507035289,5.16106,1.259905759570929,6.0649,0.31194,0.3673517292731858,-0.30123999999999995,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.1575,0.3164393701801342,5.351,0.9123402380691098,6.3210999999999995,0.18005999999999997,0.3237201538366124,-0.3325,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.14698000000000003,0.2506119849488448,4.936660000000001,0.9195642707282617,6.044379999999999,0.23784,0.3359946249570073,-0.22490000000000002,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.13108,0.22551418358941416,5.3761,1.141865992575311,6.18046,0.26472,0.3709421477804861,-0.24648000000000003,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.12508,0.34106608890360235,5.61504,1.3063801908326684,6.68518,0.17909999999999998,0.37306522217971483,-0.54444,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.12420000000000002,0.33362784655960603,5.816719999999999,1.5108003862191723,7.042999999999999,0.18256,0.3695250776334402,-0.7591,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.12354000000000002,0.3348934950099808,5.71996,1.4295843654713072,6.8601399999999995,0.17914,0.37236213958994274,-0.68756,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.11699999999999999,0.3156763532480696,4.95982,0.8150598671263358,5.873900000000001,0.2632,0.43694350893450745,-0.16702,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.10090000000000002,0.20803653525282526,6.72516,2.4451704261666505,8.6837,0.1226,0.2230645422293736,-1.95424,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.09948,0.28926163243679587,5.68392,0.6050858674601477,6.972240000000001,0.1463,0.3138268630949237,-0.64622,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.09312000000000001,0.18598161737118,5.598419999999999,0.887173149390805,6.27412,0.08042,0.35861752188090307,-0.25749999999999995,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.0883,0.17008381757239574,6.0623000000000005,1.0481847761725982,6.964640000000001,0.10069999999999998,0.2311767181184126,-0.5647800000000001,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.08514000000000001,0.22637354748291594,5.6708,1.220437982856974,6.405680000000001,0.10400000000000001,0.3901494649490116,-0.31084,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.07534,0.28169787539134905,5.865360000000001,0.3470893732167551,7.364959999999999,0.13892000000000002,0.3207019909511009,-0.87898,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.06198,0.34445784502606414,5.59316,1.3583507106045922,6.28606,0.09597999999999998,0.41067310235758075,-0.29507999999999995,5,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882
