scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,0.1693,0.10928755647373584,5.03138,0.5953098621726336,6.3607,0.21642,0.14155570281694765,-0.39302000000000004,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.14282,0.11259769979888576,4.834539999999999,0.24494652069380374,6.00398,0.22332000000000002,0.1671049729960183,-0.2239,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.13658,0.14056545450429847,5.23612,0.8443681643690745,6.36624,0.17098,0.18454074617818148,-0.37724,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.12342,0.0962847443783282,4.83288,0.6297169141765214,5.90768,0.15804,0.12598717395036688,-0.14522,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.12172000000000001,0.03985720762923564,4.71908,0.47913821805403917,5.87836,0.19691999999999998,0.0825852105403867,-0.14034,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.11816,0.036674009870751804,5.07726,0.42683862641518266,6.62262,0.14093999999999998,0.04209641314886577,-0.48134,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.06682,0.06865039693985753,5.1738,0.8754801168501772,6.25662,0.09642,0.10052458405783135,-0.28028,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.06183999999999999,0.12376890966636168,4.93328,0.542394788876147,6.08856,0.16938000000000003,0.28709205318155356,-0.25298000000000004,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.05669999999999999,0.1264054785205135,6.059019999999999,2.884500607037551,7.698979999999999,0.11735999999999999,0.19796798478541927,-1.4025800000000002,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.044739999999999995,0.1466345048070201,4.91696,0.4788377000613048,6.17998,0.09480000000000001,0.23813402738793968,-0.28902,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.04448,0.12137846596493136,5.931659999999999,2.395532442485386,7.665400000000001,0.08893999999999999,0.1687812578457691,-1.34528,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.04328,0.16977067473506724,5.1715,0.33979459236426957,6.211979999999999,0.06139999999999999,0.22279619610756374,-0.29246,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.0432,0.19190762100552441,5.99242,2.3432547422335457,7.62588,0.10068000000000002,0.25167906547823954,-1.27224,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.041199999999999994,0.12717690434980716,6.138159999999999,2.715540462412593,7.7041200000000005,0.06754000000000002,0.16244949368957726,-1.3383800000000001,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.03996,0.188510856451293,5.43964,0.5458912510747904,6.682300000000001,0.060719999999999996,0.23043201166504623,-0.54284,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.038200000000000005,0.11877876493717218,6.03956,2.2750276664251796,7.50202,0.06162000000000001,0.14645657035449108,-1.09164,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.036,0.17274162787238057,5.05774,0.15609078448133953,6.1100200000000005,0.07991999999999998,0.22780858631754863,-0.26516,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.02964,0.186101230517157,6.69996,2.2766804788990487,8.55086,0.04873999999999999,0.24809325464429702,-1.69568,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.025839999999999995,0.1963669982456319,6.9485399999999995,2.440524839660519,9.032820000000001,0.044599999999999994,0.2612068241834428,-2.01086,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.022940000000000006,0.23825814361737985,5.4877400000000005,0.8673215280390542,6.86006,0.06422000000000001,0.30540975262751513,-0.72334,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.021179999999999997,0.16206453035750915,5.05154,0.4407587696234758,6.2157,0.09330000000000001,0.2578741165762861,-0.33468,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.02,0.15790774205212357,6.068160000000001,2.2166967187687177,7.64952,0.08804,0.2157230701617238,-1.26514,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.01988,0.3099302937758747,5.238600000000001,0.7355842779722797,6.684,0.05887999999999999,0.37259513147651296,-0.6205400000000001,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.01887999999999999,0.16753440542169243,6.61098,2.0159069130294682,8.6272,0.04078,0.23260586192097565,-1.6269400000000005,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.016759999999999997,0.21208312757029968,5.554240000000001,0.6464437972476802,7.0099599999999995,0.03849999999999999,0.25216114887111374,-0.7381599999999999,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.013800000000000007,0.18340440289153367,5.70176,0.5905387565604816,7.2325800000000005,0.037380000000000004,0.22967717997223844,-0.84182,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.012619999999999996,0.2399421430261887,5.013520000000001,0.8219468303971975,6.045299999999999,-0.019700000000000006,0.3727914631533292,-0.20898,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.010959999999999992,0.2235173102916192,5.020619999999999,0.4133456144680866,6.014419999999999,0.061319999999999965,0.36556823850000975,-0.23288000000000003,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.006700000000000003,0.14761327853550302,5.084020000000001,0.8750562421924665,6.09668,-0.012700000000000008,0.22445208842868894,-0.213,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.006159999999999996,0.21871485546254052,7.474960000000001,2.9748737600106674,11.143939999999999,0.011440000000000004,0.25671572409963517,-3.7419599999999997,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.008079999999999999,0.12678663967469128,5.2857199999999995,0.42907893446311274,6.278999999999999,-0.00456,0.1726644230870969,-0.31989999999999996,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,-0.010719999999999997,0.18697650119734296,5.163379999999999,0.2606128680629564,6.267159999999999,0.036660000000000005,0.26255406681291377,-0.36536,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.02612000000000001,0.16646052685246435,5.41642,0.540315321826061,6.49188,-0.08738,0.2344208117893972,-0.40064,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.02778,0.11907834395892479,5.64914,1.1174221350948799,7.1685,-0.00494,0.1691583666272526,-0.89558,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.030899999999999993,0.1693120787185604,5.1775400000000005,0.2933241091352706,6.29698,-0.023739999999999994,0.24868068481488464,-0.33296000000000003,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.046860000000000006,0.20553876276751304,5.1585,0.4321917861320367,6.28102,-0.0398,0.31821951542920807,-0.33248,5,latency,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.027419999999999993,0.17143576639663033,11.777339999999999,2.1739817439435867,13.853720000000001,-0.0042600000000000025,0.22052573092498756,-0.6331600000000001,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,MLP,-0.005960000000000004,0.20509810579330076,13.300400000000002,0.1844010168084763,15.658719999999999,-0.019540000000000012,0.239731793886418,-1.30684,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,MLP,-0.01424,0.06422930016744695,13.381719999999998,1.6397840443180318,16.540399999999998,-0.01588,0.07707659826432404,-1.5212800000000002,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,KNN,-0.03202000000000001,0.0984558632078354,11.7912,1.6174030805584616,13.9252,-0.04988,0.15487242168959586,-0.83138,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,KNN,-0.03286000000000001,0.17302464564333025,11.68044,2.0104780508625306,13.653560000000002,-0.036320000000000005,0.20556036096485142,-0.64364,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,SVR,-0.034559999999999994,0.2220335064804409,12.561160000000001,0.9520591804084446,14.50106,-0.06472000000000001,0.2964316396743101,-0.96872,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,MLP,-0.04424,0.12062583885718682,11.616159999999999,1.0744412724760715,13.79478,-0.07208,0.17727255004653145,-0.7484599999999999,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,ElasticNet,-0.045579999999999996,0.2213437078391884,12.02268,2.1038124968732363,14.39904,-0.05024000000000001,0.25723626882692885,-0.8144600000000001,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,Ridge,-0.05294000000000001,0.20865251735840618,12.11346,2.2433862647792076,14.38486,-0.05414,0.24134989745181165,-0.81272,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,Lasso,-0.053660000000000006,0.217845410784804,12.23372,2.3809097708649105,14.499799999999999,-0.05902,0.2467735540936265,-0.80436,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,ET,-0.06793999999999999,0.1807152262539048,11.23338,1.9182061560218182,13.1273,-0.09052,0.24958683258537498,-0.45786,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,Lasso,-0.06921999999999999,0.26162583396904826,11.87222,2.580768185444018,14.131900000000002,-0.06926000000000002,0.30408310212834916,-0.71072,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,LGBM,-0.07768,0.18548369739683326,11.170599999999999,3.0744459761069143,12.845279999999999,-0.11176,0.33077207107009504,-0.35442,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,CatBoost,-0.08306,0.2122209885944366,12.187360000000002,2.36047888848852,14.296679999999999,-0.10711999999999999,0.2680946978214974,-0.76312,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,ET,-0.08546000000000001,0.12526648793671835,11.38998,2.1814532580369446,13.259459999999999,-0.10482,0.16213741702642237,-0.50652,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,ElasticNet,-0.09174000000000002,0.24612907792457192,11.70112,2.5120418939579814,13.95272,-0.10507999999999998,0.303995718719853,-0.66688,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,Lasso,-0.09664,0.2421815083774977,12.967239999999999,2.7327009135651856,15.220839999999999,-0.11976,0.274638486013887,-1.05134,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
MinMaxScaler,Ridge,-0.10658000000000001,0.23505075409366377,11.494499999999999,2.7319140789929683,13.851159999999998,-0.11559999999999997,0.29292519522908916,-0.63592,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,XGB,-0.11248,0.21317507358976098,12.620280000000001,2.4807119657469308,14.922740000000001,-0.12404,0.2753936963693977,-1.00468,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,ElasticNet,-0.12114,0.24336883120071065,12.50212,3.38372367104644,14.785860000000003,-0.15347999999999998,0.2776964295773354,-0.8916000000000001,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,RF,-0.12229999999999999,0.14691948475270394,11.3161,2.6935526141139325,13.10584,-0.18824000000000002,0.26042139505040673,-0.42800000000000005,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,SVR,-0.12288000000000002,0.23155995335981566,13.1069,1.426353940997816,15.53406,-0.13966,0.27085866794326524,-1.2182,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,Ridge,-0.12503999999999998,0.23349632331152456,12.50376,3.5309612803031416,14.728559999999998,-0.15768,0.2648500084953746,-0.87752,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
RobustScaler,KNN,-0.12530000000000002,0.1692707594358813,12.01948,2.538062042582884,14.182220000000001,-0.17046,0.22880492346101297,-0.7434000000000001,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
StandardScaler,ET,-0.14494,0.15020583543923985,11.548079999999999,1.6619138476467425,13.51772,-0.17844,0.17890319449355846,-0.58526,5,latency,CRADK,ads.1,CES-D,cross-corpus-882
