scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,GB,0.0020000000000000074,0.19925681920576768,5.830920000000001,1.1944114123701262,6.7854399999999995,0.008020000000000005,0.25464105521301944,-0.61334,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,-0.0031200000000000004,0.14646343229625614,5.38462,0.8772129313912328,6.30214,-0.07415000000000001,0.3320084587275852,-0.396,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.009000000000000003,0.1690700002957355,5.35536,1.0792051834567882,6.2085799999999995,-0.11098,0.34931884718692174,-0.31896,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,-0.03228,0.1941656689530876,5.58016,1.2540959265542648,6.44568,-0.02133999999999999,0.29914766086332684,-0.42416,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,-0.03775999999999998,0.39671614285279594,5.473540000000001,0.5554126510982622,6.32946,0.026679999999999992,0.47991462990827854,-0.49917999999999996,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.056579999999999984,0.36212551967515355,5.8098399999999994,0.8756980261482838,6.689800000000001,0.019160000000000003,0.4996799555715638,-0.6782199999999999,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,-0.056600000000000004,0.20786140815456822,5.54556,0.845373188597793,6.47616,-0.13682,0.3263602181639178,-0.4673,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.05875999999999999,0.18819365823534012,6.0353,1.3181547177778485,6.94542,-0.06266000000000001,0.2478096608286287,-0.6727000000000001,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,-0.06559999999999999,0.19702021469889833,6.03086,0.7733100917484524,6.8588000000000005,-0.06476,0.2381235141685928,-0.6681,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,-0.06727999999999998,0.22560484702239886,5.5102,0.7909378768272508,6.30626,-0.09981999999999999,0.309288622487152,-0.39484,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,-0.06974,0.2809351579991369,6.23728,1.361777119061706,7.128659999999999,-0.03723999999999998,0.38189800732656354,-0.76908,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,-0.07118,0.16160712236779667,5.79636,0.8858549108065045,6.6059,-0.10404000000000002,0.23716055321237553,-0.5107200000000001,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,-0.07268000000000001,0.1816108807313042,6.147699999999999,1.278401959479099,7.34764,-0.13342,0.297587267872804,-0.9349399999999999,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,-0.07533999999999999,0.2541509944894963,5.59616,1.1447839394401023,6.367399999999999,-0.08693999999999999,0.37940124274967785,-0.41617999999999994,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.07613999999999999,0.22780530722527076,5.47434,1.182785484777354,6.2750200000000005,-0.08362,0.3957209837751847,-0.36595999999999995,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,-0.07618,0.27012563188264826,6.139539999999999,1.1168813334459482,7.086060000000001,-0.07518,0.3215521994948876,-0.76496,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,-0.08038,0.2389186618914479,5.993360000000001,1.2245511108157143,6.7771,-0.09372,0.3117860917359849,-0.58648,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.08102000000000001,0.19666166886305017,5.4367,0.8687243837949988,6.27818,-0.11341999999999999,0.28748730754591584,-0.36204000000000003,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.08892000000000001,0.2523886031499838,5.5468,1.0887039014350963,6.34222,-0.11888000000000001,0.38102767222342265,-0.40326000000000006,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,-0.09358,0.22591682540262467,6.12806,1.088426638777276,7.30318,-0.14304,0.32384544616220867,-0.91608,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.09473999999999999,0.1000156137810492,5.9033,0.5277683393308088,6.705879999999999,-0.12725999999999998,0.12482833412330711,-0.61656,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,-0.10698,0.25988854726593863,5.58896,1.0029223464456258,6.40736,-0.12124000000000001,0.37167865556149443,-0.4361,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,-0.11054,0.24041533436950316,5.957560000000001,0.9197749985730203,6.8675000000000015,-0.16086,0.32813214258892714,-0.66008,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.1152,0.2637496445495235,6.20046,0.8907509012063921,7.342239999999999,-0.14770000000000003,0.3258052102100272,-0.9385,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,-0.11912,0.1720615500337016,5.691000000000001,0.7933665136618764,6.4764,-0.17329999999999998,0.2520882484369313,-0.4666600000000001,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,-0.12005999999999997,0.17783204997974913,6.2004399999999995,0.730391510082093,7.167579999999999,-0.14196000000000003,0.2137888748274802,-0.8547800000000001,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,-0.12324000000000002,0.24855165056784476,5.565939999999999,0.5976407683550378,6.43092,-0.15996,0.32488289120850916,-0.46629999999999994,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,-0.12652000000000002,0.28741220746516666,5.81942,0.671417345620442,6.667260000000001,-0.15712,0.33089192646542465,-0.5796,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.12711999999999998,0.26114333612022345,6.18444,0.987932175303548,7.295140000000001,-0.1608,0.3104006684915482,-0.94208,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,-0.13228,0.23062884034742925,5.620019999999999,0.7974350205502638,6.464919999999999,-0.20122,0.32413862312288555,-0.46984000000000004,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.14035999999999998,0.18987525641852335,5.745400000000001,0.7624708125561264,6.58228,-0.21086,0.21575918983904255,-0.5219400000000001,5,latency,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,-0.16140000000000002,0.2335218940485024,7.008719999999999,1.4089370787937978,8.230879999999999,-0.17298,0.24433296339217103,-1.36386,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,-0.16468000000000002,0.2907426301731482,6.3785,1.5715967914831077,7.205519999999998,-0.20378,0.34921051960099947,-0.8661800000000002,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,-0.17872,0.2792355940778324,6.2714799999999995,1.0040781528347285,7.25744,-0.20833999999999997,0.31292616221722336,-0.89734,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,-0.17962000000000003,0.2620020553354496,5.940980000000001,1.1214449282064634,7.078480000000001,-0.17524,0.31710527116400955,-0.77348,5,latency,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.20851999999999998,0.24877970576395494,8.33438,2.3195858266078453,11.5616,-0.22788,0.24538780939565846,-5.2949600000000006,5,latency,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.07476000000000001,0.2561321787671358,11.90694,1.4917276554384853,14.675220000000001,0.06062000000000001,0.2973567587932045,-0.48697999999999997,5,latency,CR,ads.1,CES-D,cross-corpus-882
StandardScaler,Lasso,0.07370000000000002,0.27166477504453906,11.78634,1.4076940693914999,14.22606,0.07256,0.2940557821230523,-0.3968,5,latency,CR,ads.1,CES-D,cross-corpus-882
