scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,XGB,0.27588,0.1697696733813198,4.84642,0.9762324861425172,5.8646,0.32284,0.17299847687190772,-0.06870000000000001,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.26071999999999995,0.10300369896270715,4.5026,0.9422946752476103,5.613059999999999,0.35444,0.14451684330900674,0.022820000000000007,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.24425999999999998,0.20040197853314723,4.580699999999999,1.2186865860425313,5.4728200000000005,0.3742,0.31383046378578355,0.08671999999999999,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.24194,0.11288659353528213,4.79138,0.7096072730743394,5.8592,0.30076,0.15596332261143964,-0.06668,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.23056000000000001,0.1755762313070878,4.92306,1.1410285723854596,5.78222,0.30612,0.16966582449037876,-0.04958,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.23041999999999999,0.11118177458558573,4.79366,0.6989994084403793,5.83808,0.29904,0.16494111979733858,-0.05961999999999999,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.21204,0.16684941714012666,4.939500000000001,1.0119536130673183,5.79328,0.28358,0.24105975815137623,-0.03979999999999999,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.21064000000000002,0.10297972130473068,4.777880000000001,0.6991966940711318,5.794759999999999,0.29164,0.16719284673693427,-0.043539999999999995,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.20101999999999998,0.09109891327562585,4.892519999999999,0.5686841012372336,5.873099999999999,0.27124000000000004,0.13216309242750035,-0.10292000000000001,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.19322,0.16684887473399393,4.685219999999999,0.8967578809243885,5.70594,0.27526,0.19426320547133985,-0.006980000000000009,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.18888000000000002,0.08387888292055397,4.924379999999999,0.5777904568266944,5.934279999999999,0.25562,0.12534670717653498,-0.12332000000000001,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.18344,0.05036484885314359,4.883799999999999,0.6111738664242772,5.89524,0.26890000000000003,0.12417360830707948,-0.09366,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.17951999999999999,0.17559754269351266,4.68956,1.141106449022176,5.684699999999999,0.24543999999999996,0.23949345084991366,0.02892,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.17839999999999998,0.24254118207017958,5.333920000000001,1.1666275592493092,6.48472,0.19272,0.24759327939182843,-0.35575999999999997,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.17724,0.1375563266447603,4.860379999999999,0.953561920904982,5.8087,0.24294,0.1390056221884568,-0.03312,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.17652,0.13498589555949908,4.88518,0.9653074960860915,5.77342,0.25320000000000004,0.20567617752185108,-0.02902,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.1755,0.21176169389197846,5.09614,1.0323945771845184,6.20386,0.21757999999999997,0.23662009001773288,-0.18776,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.1698,0.17597901863574533,5.14152,1.072143440496653,6.2289,0.19332000000000002,0.18836877926025852,-0.20542,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.16336,0.14384129448805721,5.243340000000001,0.9328741544281308,6.36098,0.18924000000000002,0.15250599332485265,-0.24962000000000004,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.14730000000000001,0.2784498698150171,5.32438,1.4156066710071693,6.4760800000000005,0.19105999999999998,0.32540450672970095,-0.31558,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.13208,0.16503918322628722,5.0461,0.1701418085010266,5.98444,0.22899999999999995,0.2796254459093449,-0.16061999999999999,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.12982,0.18408763402249484,5.04422,0.9468030613596474,6.04144,0.15792,0.2142545028698347,-0.11717999999999999,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.12306000000000002,0.1096119199722366,4.87378,0.9102323258377506,5.97752,0.17812,0.16686217965734476,-0.09302,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.123,0.20111255555036836,5.67712,1.1432815606839812,6.9732,0.14286,0.2412732330781846,-0.65876,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.11312,0.17536580909630017,4.82052,1.323895685845376,5.95418,0.15502,0.2599939941614037,-0.06561999999999998,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.09763999999999999,0.14738138620599278,5.15276,0.8191694379064688,6.16664,0.14582,0.19604076616867216,-0.19402,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.09700000000000002,0.1768646092354262,5.34962,0.6358624395260344,6.537960000000001,0.10735999999999998,0.19966426320200617,-0.36388000000000004,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.09228,0.1144091429912837,5.05732,0.8306362212184103,6.16184,0.10840000000000001,0.14193195552799234,-0.16868,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.08748,0.1181602386592038,4.95104,0.5315562275056145,6.238860000000001,0.1326,0.16118751502520287,-0.22754,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.08568,0.1880607003071083,5.45778,0.5153293383846876,6.729819999999999,0.10158,0.20749904096163915,-0.46137999999999996,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.07994,0.17985189184437286,5.39744,0.4865955435472051,6.603960000000001,0.10064,0.2045542666384644,-0.40874,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.07886,0.14296570567797018,5.383619999999999,1.3114767733360742,6.42206,0.13166,0.244006112628352,-0.27282,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.07857999999999998,0.14518893552884804,5.349,1.104688526237147,6.45732,0.15362,0.23052713940011488,-0.39281999999999995,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.0777,0.06209210899945338,4.80338,0.5925376840336822,6.1113,0.1212,0.11237844544217543,-0.15646,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.06006,0.130070223341086,5.206359999999999,0.6585289841760958,6.430199999999999,0.13034,0.22414736893392256,-0.35516,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.02582,0.21975808745072387,6.34492,0.5821600656176958,8.05232,0.03677999999999998,0.2502768806741845,-1.26422,5,latency,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.34928,0.11899166777552114,9.09484,2.12809645763532,10.7604,0.47568,0.11189364146366855,0.10718000000000001,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
MinMaxScaler,LGBM,0.33304,0.17681793743848498,9.650960000000001,1.9507428567086949,11.1449,0.4636,0.18116718797839745,-0.04316,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
StandardScaler,LGBM,0.29416,0.09845655387022235,9.77902,1.386464219516682,11.48448,0.41788,0.11988691338090243,-0.09472,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,LGBM,0.29009999999999997,0.055201086945820196,9.76198,1.1976250924224998,11.533700000000001,0.41952,0.09549720938331129,-0.10416,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
StandardScaler,KNN,0.28702,0.14926101969368963,9.965539999999999,1.8750755659439433,11.514780000000002,0.37918,0.1585457252656154,-0.04308000000000001,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
StandardScaler,Ridge,0.28648000000000007,0.17393574100799414,9.944700000000001,2.142791019908381,11.7499,0.34547999999999995,0.16463082032232,-0.08532,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
StandardScaler,ElasticNet,0.28624,0.19246208197980194,9.9041,2.131242955413578,11.77714,0.33703999999999995,0.17149285116295662,-0.0889,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
MinMaxScaler,CatBoost,0.28584,0.1538592311172781,9.801660000000002,1.6914120396875507,11.855479999999998,0.35816,0.1619216261034949,-0.16076000000000001,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
StandardScaler,Lasso,0.27858,0.15657799015187288,9.85476,2.105231490359196,11.73482,0.35234,0.1694769984393162,-0.08259999999999999,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,XGB,0.27242,0.14396298829907636,10.18964,1.9011500882360663,12.54288,0.33952,0.1845190694752171,-0.27,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
MinMaxScaler,Lasso,0.26938,0.1356504404710873,10.42368,1.9598095512064428,12.670760000000001,0.35428,0.14072351260539226,-0.29789999999999994,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
MinMaxScaler,ElasticNet,0.26483999999999996,0.1723493777186329,9.56116,1.8560713545012215,11.4401,0.34548,0.17156633411016275,-0.042239999999999986,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,MLP,0.26026000000000005,0.18318548796233833,10.2717,2.6155454956853648,12.53422,0.33276000000000006,0.2479003287613794,-0.22535999999999995,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,Lasso,0.25898,0.11990290655359445,10.5199,2.1440080025503634,12.38074,0.32482,0.12685975327108281,-0.1843,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
MinMaxScaler,RF,0.2562,0.1787359924581504,9.82988,1.7838589355663748,11.41896,0.3782,0.2339753405810108,-0.08004,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,SVR,0.25392,0.10154903741542802,10.21968,1.4478309386803425,12.54666,0.3527,0.16079749687106454,-0.23235999999999998,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,ET,0.2537,0.06959292349082627,10.07636,1.3347271417784234,11.827279999999998,0.35266000000000003,0.1406321727059637,-0.11920000000000001,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
RobustScaler,ElasticNet,0.2534,0.11726672588590509,10.368459999999999,2.155619011560252,12.25642,0.3295,0.12919142773419606,-0.16036,5,latency,SHAM,ads.1,CES-D,cross-corpus-882
